
N	 λ 	 tol 	 err

N	 λ 	 tol 	 err
9807	1.4000000000000001	0.01	1.2968378577082923e-5
9807	1.4000000000000001	0.001	1.2765864417785058e-5
9807	1.4000000000000001	0.0001	1.2637254977597199e-5

N	 λ 	 tol 	 err
18864	1.0	0.01	0.0012001241532358696
18864	1.0	0.0001	4.136467031332664e-5
18864	1.0	1.0e-6	6.797718144849557e-7
37059	0.7000000000000001	0.01	0.0018891668803615053
37059	0.7000000000000001	0.0001	8.852687932314668e-5
37059	0.7000000000000001	1.0e-6	7.314183604522887e-7
79236	0.48	0.01	0.004763049945108112
79236	0.48	0.0001	0.00019129179954608237
79236	0.48	1.0e-6	6.6920788736756695e-6

N	 λ 	 tol 	 err
79236	0.48	0.01	0.004469737264181092
79236	0.48	0.0001	0.0002598416374416769

N	 λ 	 tol 	 err
156957	0.34	0.01	0.0073940377678989025
156957	0.34	0.0001	0.00022579527752746205
156957	0.34	1.0e-6	7.15300856988587e-6
